,param_C,param_kernel,params,mean_test_score,std_test_score,rank_test_score
0,0.001,linear,"{'C': 0.001, 'kernel': 'linear'}",0.9432308974310211,0.0019214068640796772,31
1,0.001,poly,"{'C': 0.001, 'kernel': 'poly'}",0.8063974594787648,0.001955782770219866,47
2,0.001,rbf,"{'C': 0.001, 'kernel': 'rbf'}",0.9545883374339657,0.0028510488355627086,28
3,0.001,sigmoid,"{'C': 0.001, 'kernel': 'sigmoid'}",0.9374634498985864,0.0018224873440242171,32
4,0.072,linear,"{'C': 0.072, 'kernel': 'linear'}",0.9552235217148809,0.0027091544845779967,11
5,0.072,poly,"{'C': 0.072, 'kernel': 'poly'}",0.8069369794371702,0.005116225122939378,46
6,0.072,rbf,"{'C': 0.072, 'kernel': 'rbf'}",0.954414129334509,0.002905235926970498,29
7,0.072,sigmoid,"{'C': 0.072, 'kernel': 'sigmoid'}",0.9479250370918308,0.0026031699243456497,30
8,0.144,linear,"{'C': 0.144, 'kernel': 'linear'}",0.9553032288152629,0.0027635225607435146,1
9,0.144,poly,"{'C': 0.144, 'kernel': 'poly'}",0.8061286651291228,0.005029452085892213,52
10,0.144,rbf,"{'C': 0.144, 'kernel': 'rbf'}",0.9548138349530131,0.002611032968092337,27
11,0.144,sigmoid,"{'C': 0.144, 'kernel': 'sigmoid'}",0.9346246720193438,0.0013897783665185366,33
12,0.215,linear,"{'C': 0.215, 'kernel': 'linear'}",0.9552388280618824,0.0028332505860956514,10
13,0.215,poly,"{'C': 0.215, 'kernel': 'poly'}",0.8060812025961253,0.005026683715796597,56
14,0.215,rbf,"{'C': 0.215, 'kernel': 'rbf'}",0.9549906486440077,0.002607961311277996,17
15,0.215,sigmoid,"{'C': 0.215, 'kernel': 'sigmoid'}",0.9250771065643244,0.0075121891679718715,34
16,0.286,linear,"{'C': 0.286, 'kernel': 'linear'}",0.9552067452107635,0.002878706777123978,12
17,0.286,poly,"{'C': 0.286, 'kernel': 'poly'}",0.8061282051937697,0.005106532987919798,54
18,0.286,rbf,"{'C': 0.286, 'kernel': 'rbf'}",0.9549584961804098,0.002579641049751833,20
19,0.286,sigmoid,"{'C': 0.286, 'kernel': 'sigmoid'}",0.917060198984547,0.014801283701367851,35
20,0.358,linear,"{'C': 0.358, 'kernel': 'linear'}",0.9552421154309148,0.002828633871930392,8
21,0.358,poly,"{'C': 0.358, 'kernel': 'poly'}",0.8061284189340772,0.005060796841004218,53
22,0.358,rbf,"{'C': 0.358, 'kernel': 'rbf'}",0.954961652368195,0.0025772374666386453,19
23,0.358,sigmoid,"{'C': 0.358, 'kernel': 'sigmoid'}",0.906706694332394,0.025736481821879178,36
24,0.429,linear,"{'C': 0.429, 'kernel': 'linear'}",0.9552421154309148,0.002828633871930392,8
25,0.429,poly,"{'C': 0.429, 'kernel': 'poly'}",0.8060806010445326,0.005085564091390834,58
26,0.429,rbf,"{'C': 0.429, 'kernel': 'rbf'}",0.9549042820245204,0.0027060037793091916,23
27,0.429,sigmoid,"{'C': 0.429, 'kernel': 'sigmoid'}",0.9021049712805957,0.03076676239002777,37
28,0.5,linear,"{'C': 0.5, 'kernel': 'linear'}",0.9552774737258399,0.0027794758797353583,2
29,0.5,poly,"{'C': 0.5, 'kernel': 'poly'}",0.806175189158075,0.005186824829773301,51
30,0.5,rbf,"{'C': 0.5, 'kernel': 'rbf'}",0.9549357304785332,0.0025772113669670607,21
31,0.5,sigmoid,"{'C': 0.5, 'kernel': 'sigmoid'}",0.8982916532501715,0.03468526662526638,38
32,0.572,linear,"{'C': 0.572, 'kernel': 'linear'}",0.9552067452107635,0.002878706777123978,12
33,0.572,poly,"{'C': 0.572, 'kernel': 'poly'}",0.8060806010445326,0.005085564091390834,58
34,0.572,rbf,"{'C': 0.572, 'kernel': 'rbf'}",0.954993019587139,0.0025125904069580865,16
35,0.572,sigmoid,"{'C': 0.572, 'kernel': 'sigmoid'}",0.8956897338844986,0.03713125148173115,39
36,0.643,linear,"{'C': 0.643, 'kernel': 'linear'}",0.9552067452107635,0.002878706777123978,12
37,0.643,poly,"{'C': 0.643, 'kernel': 'poly'}",0.8060807372892145,0.005082588106167318,57
38,0.643,rbf,"{'C': 0.643, 'kernel': 'rbf'}",0.9549933345917099,0.0025882435573405093,15
39,0.643,sigmoid,"{'C': 0.643, 'kernel': 'sigmoid'}",0.8940423070926824,0.03886604147079688,40
40,0.715,linear,"{'C': 0.715, 'kernel': 'linear'}",0.9552774737258399,0.0027794758797353583,2
41,0.715,poly,"{'C': 0.715, 'kernel': 'poly'}",0.8060799033639754,0.005187953904398315,60
42,0.715,rbf,"{'C': 0.715, 'kernel': 'rbf'}",0.9549641282859959,0.00249624122490963,18
43,0.715,sigmoid,"{'C': 0.715, 'kernel': 'sigmoid'}",0.893950178048901,0.03887817737186625,41
44,0.786,linear,"{'C': 0.786, 'kernel': 'linear'}",0.9552774737258399,0.0027794758797353583,2
45,0.786,poly,"{'C': 0.786, 'kernel': 'poly'}",0.8062693149712798,0.005304994555509525,48
46,0.786,rbf,"{'C': 0.786, 'kernel': 'rbf'}",0.9549323117871771,0.0025451334976658332,22
47,0.786,sigmoid,"{'C': 0.786, 'kernel': 'sigmoid'}",0.893004456852341,0.03951717753943594,42
48,0.857,linear,"{'C': 0.857, 'kernel': 'linear'}",0.9552774737258399,0.0027794758797353583,2
49,0.857,poly,"{'C': 0.857, 'kernel': 'poly'}",0.8061754028983824,0.005141800972346562,49
50,0.857,rbf,"{'C': 0.857, 'kernel': 'rbf'}",0.9549005059293278,0.00259464845542928,26
51,0.857,sigmoid,"{'C': 0.857, 'kernel': 'sigmoid'}",0.8919492244830959,0.04073222957585515,43
52,0.929,linear,"{'C': 0.929, 'kernel': 'linear'}",0.9552774737258399,0.0027794758797353583,2
53,0.929,poly,"{'C': 0.929, 'kernel': 'poly'}",0.8061754028983824,0.005141800972346562,49
54,0.929,rbf,"{'C': 0.929, 'kernel': 'rbf'}",0.9549042082426104,0.0027008681771784606,24
55,0.929,sigmoid,"{'C': 0.929, 'kernel': 'sigmoid'}",0.8909687239252021,0.04193648194519568,44
56,1.0,linear,"{'C': 1.0, 'kernel': 'linear'}",0.9552774737258399,0.0027794758797353583,2
57,1.0,poly,"{'C': 1.0, 'kernel': 'poly'}",0.8061275850088381,0.005166614757167472,55
58,1.0,rbf,"{'C': 1.0, 'kernel': 'rbf'}",0.9549042082426104,0.0027008681771784606,24
59,1.0,sigmoid,"{'C': 1.0, 'kernel': 'sigmoid'}",0.8903617695859746,0.04274405534375509,45
